Disease	Disease1	ICD-11_Code	Category
Crushing injury of thorax or traumatic amputation of part of thorax, unspecified	Crushing injury of thorax or traumatic amputation of part of thorax, unspecified	NB33.Z	0
Crushed chest	Crushed chest	NB33.0	0
Traumatic amputation of other part of thorax	Traumatic amputation of other part of thorax	NB33.2	0
Injury of muscle, fascia or tendon at thorax level, unspecified	Injury of muscle, fascia or tendon at thorax level, unspecified	NB34.Z	0
Multiple injuries of thorax	Multiple injuries of thorax	NB35	0
Injuries to the abdomen, lower back, lumbar spine or pelvis, unspecified	Injuries to the abdomen, lower back, lumbar spine or pelvis, unspecified	NB9Z	0
Superficial injury of abdomen, lower back or pelvis, unspecified	Superficial injury of abdomen, lower back or pelvis, unspecified	NB50.Z	0
Contusion of lower back or pelvis	Contusion of lower back or pelvis	NB50.1	0
Contusion of abdominal wall	Contusion of abdominal wall	NB50.3	0
Contusion of external genital organs	Contusion of external genital organs	NB50.5	0
Multiple superficial injuries of abdomen, lower back or pelvis	Multiple superficial injuries of abdomen, lower back or pelvis	NB50.6	0
Open wound of abdomen, lower back or pelvis, unspecified	Open wound of abdomen, lower back or pelvis, unspecified	NB51.Z	0
Multiple open wounds of abdomen, lower back or pelvis	Multiple open wounds of abdomen, lower back or pelvis	NB51.5	0
Fracture of lumbar spine or pelvis, unspecified	Fracture of lumbar spine or pelvis, unspecified	NB52.Z	0
Fracture of lumbar vertebra	Fracture of lumbar vertebra	NB52.0	0
Fracture of sacrum without disruption of pelvic ring	Fracture of sacrum without disruption of pelvic ring	NB52.10	0
Fracture of coccyx	Fracture of coccyx	NB52.11	0
Fracture of ilium without disruption of pelvic ring	Fracture of ilium without disruption of pelvic ring	NB52.12	0
Fracture of acetabulum without disruption of pelvic ring	Fracture of acetabulum without disruption of pelvic ring	NB52.13	0
Fracture of pubis without disruption of pelvic ring	Fracture of pubis without disruption of pelvic ring	NB52.14	0
Multiple fractures of lumbar spine or pelvis	Multiple fractures of lumbar spine or pelvis	NB52.4	0
Dislocation or strain or sprain of joints or ligaments of lumbar spine or pelvis, unspecified	Dislocation or strain or sprain of joints or ligaments of lumbar spine or pelvis, unspecified	NB53.Z	0
Traumatic rupture of lumbar intervertebral disc	Traumatic rupture of lumbar intervertebral disc	NB53.0	0
Dislocation of lumbar vertebra	Dislocation of lumbar vertebra	NB53.1	0
Dislocation of sacroiliac or sacrococcygeal joint without disruption of pelvic ring	Dislocation of sacroiliac or sacrococcygeal joint without disruption of pelvic ring	NB53.2	0
Dislocation of other or unspecified parts of lumbar spine or pelvis without disruption of pelvic ring	Dislocation of other or unspecified parts of lumbar spine or pelvis without disruption of pelvic ring	NB53.3	0
Traumatic rupture of symphysis pubis without disruption of pelvic ring	Traumatic rupture of symphysis pubis without disruption of pelvic ring	NB53.4	0
Strain or sprain of lumbar spine	Strain or sprain of lumbar spine	NB53.5	0
Strain or sprain of sacroiliac joint	Strain or sprain of sacroiliac joint	NB53.6	0
Concussion or oedema of lumbar spinal cord	Concussion or oedema of lumbar spinal cord	NB60	0
Certain specified injuries of lumbar spinal cord	Certain specified injuries of lumbar spinal cord	NB62	0
Injury of nerve root of lumbar spine	Injury of nerve root of lumbar spine	NB70	0
Injury of cauda equina	Injury of cauda equina	NB72	0
Injury of lumbosacral plexus	Injury of lumbosacral plexus	NB73	0
Injury of lumbar, sacral or pelvic sympathetic nerves	Injury of lumbar, sacral or pelvic sympathetic nerves	NB74	0
Injury of peripheral nerve of abdomen, lower back or pelvis	Injury of peripheral nerve of abdomen, lower back or pelvis	NB75	0
Injury of unspecified blood vessel at abdomen, lower back or pelvis level	Injury of unspecified blood vessel at abdomen, lower back or pelvis level	NB90.Z	0
Injury of abdominal aorta, unspecified	Injury of abdominal aorta, unspecified	NB90.0Z	0
Injury of inferior vena cava, unspecified	Injury of inferior vena cava, unspecified	NB90.1Z	0
Injury of coeliac artery, unspecified	Injury of coeliac artery, unspecified	NB90.2Z	0
Injury of portal or splenic vein, unspecified	Injury of portal or splenic vein, unspecified	NB90.4Z	0
Injury of renal blood vessels, unspecified	Injury of renal blood vessels, unspecified	NB90.5Z	0
Injury of iliac blood vessels, unspecified	Injury of iliac blood vessels, unspecified	NB90.6Z	0
Injury of multiple blood vessels at abdomen, lower back or pelvis level	Injury of multiple blood vessels at abdomen, lower back or pelvis level	NB90.7	0
Injury of intra-abdominal organs, unspecified	Injury of intra-abdominal organs, unspecified	NB91.Z	0
Injury of spleen, unspecified	Injury of spleen, unspecified	NB91.0Z	0
Injury of liver, unspecified	Injury of liver, unspecified	NB91.1Z	0
Injury of pancreas, unspecified	Injury of pancreas, unspecified	NB91.4Z	0
Injury of stomach, unspecified	Injury of stomach, unspecified	NB91.5Z	0
Injury of small intestine, unspecified	Injury of small intestine, unspecified	NB91.7Z	0
Injury of colon, unspecified	Injury of colon, unspecified	NB91.8Z	0
Injury of rectum, unspecified	Injury of rectum, unspecified	NB91.9Z	0
Injury of multiple intra-abdominal organs	Injury of multiple intra-abdominal organs	NB91.B	0
Injury of urinary or pelvic organs, unspecified	Injury of urinary or pelvic organs, unspecified	NB92.Z	0
Injury of kidney, unspecified	Injury of kidney, unspecified	NB92.0Z	0
Injury of ureter, unspecified	Injury of ureter, unspecified	NB92.1Z	0
Injury of bladder, unspecified	Injury of bladder, unspecified	NB92.2Z	0
Injury of urethra, unspecified	Injury of urethra, unspecified	NB92.3Z	0
Injury of ovary, unspecified	Injury of ovary, unspecified	NB92.4Z	0
Injury of fallopian tube	Injury of fallopian tube	NB92.5	0
Injury of uterus	Injury of uterus	NB92.6	0
Injury of multiple pelvic organs	Injury of multiple pelvic organs	NB92.8	0
Crushing injury or traumatic amputation of part of abdomen, lower back or pelvis	Crushing injury or traumatic amputation of part of abdomen, lower back or pelvis	NB93	0
Crushing injury of external genital organs, unspecified	Crushing injury of external genital organs, unspecified	NB93.0Z	0
Crushing injury of other or unspecified parts of abdomen, lower back or pelvis	Crushing injury of other or unspecified parts of abdomen, lower back or pelvis	NB93.1	0
Traumatic amputation of external genital organs, unspecified	Traumatic amputation of external genital organs, unspecified	NB93.2Z	0
Traumatic amputation of other or unspecified parts of abdomen, lower back or pelvis	Traumatic amputation of other or unspecified parts of abdomen, lower back or pelvis	NB93.3	0
Injury of muscle, fascia or tendon of abdomen, lower back or pelvis, unspecified	Injury of muscle, fascia or tendon of abdomen, lower back or pelvis, unspecified	NB94.Z	0
Injury of intra-abdominal organ with pelvic organ	Injury of intra-abdominal organ with pelvic organ	NB95	0
Other multiple injuries of abdomen, lower back or pelvis	Other multiple injuries of abdomen, lower back or pelvis	NB96	0
Injuries to the shoulder or upper arm, unspecified	Injuries to the shoulder or upper arm, unspecified	NC1Z	0
Superficial injury of shoulder or upper arm, unspecified	Superficial injury of shoulder or upper arm, unspecified	NC10.Z	0
Contusion of shoulder or upper arm	Contusion of shoulder or upper arm	NC10.1	0
Multiple superficial injuries of shoulder or upper arm	Multiple superficial injuries of shoulder or upper arm	NC10.2	0
Open wound of shoulder or upper arm, unspecified	Open wound of shoulder or upper arm, unspecified	NC11.Z	0
Multiple open wounds of shoulder or upper arm	Multiple open wounds of shoulder or upper arm	NC11.5	0
Fracture of shoulder or upper arm, unspecified	Fracture of shoulder or upper arm, unspecified	NC12.Z	0
Fracture of clavicle, unspecified	Fracture of clavicle, unspecified	NC12.0Z	0
Fracture of scapula, unspecified	Fracture of scapula, unspecified	NC12.1Z	0
Fracture of upper end of humerus, unspecified site	Fracture of upper end of humerus, unspecified site	NC12.2Z	0
Fracture of shaft of humerus	Fracture of shaft of humerus	NC12.3	0
Fracture of lower end of humerus, unspecified	Fracture of lower end of humerus, unspecified	NC12.4Z	0
Multiple fractures of clavicle, scapula or humerus	Multiple fractures of clavicle, scapula or humerus	NC12.5	0
Fracture of other parts of shoulder or upper arm	Fracture of other parts of shoulder or upper arm	NC12.6	0
Fracture of shoulder girdle, part unspecified	Fracture of shoulder girdle, part unspecified	NC12.7	0
Dislocation or strain or sprain of joints or ligaments of shoulder girdle, unspecified	Dislocation or strain or sprain of joints or ligaments of shoulder girdle, unspecified	NC13.Z	0
Dislocation of shoulder joint	Dislocation of shoulder joint	NC13.0	0
Dislocation of acromioclavicular joint	Dislocation of acromioclavicular joint	NC13.1	0
Dislocation of sternoclavicular joint	Dislocation of sternoclavicular joint	NC13.2	0
Dislocation of other or unspecified parts of shoulder girdle	Dislocation of other or unspecified parts of shoulder girdle	NC13.4	0
Strain or sprain of shoulder joint	Strain or sprain of shoulder joint	NC13.5	0
Strain or sprain of acromioclavicular joint	Strain or sprain of acromioclavicular joint	NC13.6	0
Strain or sprain of sternoclavicular joint	Strain or sprain of sternoclavicular joint	NC13.7	0
Strain or sprain of other or unspecified parts of shoulder girdle	Strain or sprain of other or unspecified parts of shoulder girdle	NC13.8	0
Injury of unspecified nerve at shoulder or upper arm level	Injury of unspecified nerve at shoulder or upper arm level	NC14.Z	0
Injury of ulnar nerve at upper arm level	Injury of ulnar nerve at upper arm level	NC14.0	0
Injury of median nerve at upper arm level	Injury of median nerve at upper arm level	NC14.1	0
Injury of radial nerve at upper arm level	Injury of radial nerve at upper arm level	NC14.2	0
Injury of axillary nerve	Injury of axillary nerve	NC14.3	0
Injury of musculocutaneous nerve	Injury of musculocutaneous nerve	NC14.4	0
Injury of cutaneous sensory nerve at shoulder or upper arm level	Injury of cutaneous sensory nerve at shoulder or upper arm level	NC14.5	0
Injury of multiple nerves at shoulder or upper arm level	Injury of multiple nerves at shoulder or upper arm level	NC14.6	0
Injury of unspecified blood vessel at shoulder or upper arm level	Injury of unspecified blood vessel at shoulder or upper arm level	NC15.Z	0
Injury of axillary artery, unspecified	Injury of axillary artery, unspecified	NC15.0Z	0
Injury of brachial artery, unspecified	Injury of brachial artery, unspecified	NC15.1Z	0
Injury of axillary or brachial vein, unspecified	Injury of axillary or brachial vein, unspecified	NC15.2Z	0
Injury of superficial vein at shoulder or upper arm level, unspecified	Injury of superficial vein at shoulder or upper arm level, unspecified	NC15.3Z	0
Injury of multiple blood vessels at shoulder or upper arm level	Injury of multiple blood vessels at shoulder or upper arm level	NC15.4	0
Injury of unspecified muscle, fascia or tendon at shoulder or upper arm level	Injury of unspecified muscle, fascia or tendon at shoulder or upper arm level	NC16.Z	0
Injury of muscle or tendon of the rotator cuff of shoulder, unspecified	Injury of muscle or tendon of the rotator cuff of shoulder, unspecified	NC16.0Z	0
Injury of muscle, fascia or tendon of long head of biceps, unspecified	Injury of muscle, fascia or tendon of long head of biceps, unspecified	NC16.1Z	0
Injury of muscle, fascia or tendon of other parts of biceps, unspecified	Injury of muscle, fascia or tendon of other parts of biceps, unspecified	NC16.2Z	0
Injury of muscle, fascia or tendon of triceps, unspecified	Injury of muscle, fascia or tendon of triceps, unspecified	NC16.3Z	0
Injury of multiple muscles or tendons at shoulder or upper arm level, unspecified	Injury of multiple muscles or tendons at shoulder or upper arm level, unspecified	NC16.4Z	0
Crushing injury of shoulder or upper arm	Crushing injury of shoulder or upper arm	NC17	0
Traumatic amputation of shoulder or upper arm, unspecified	Traumatic amputation of shoulder or upper arm, unspecified	NC18.Z	0
Traumatic amputation at right shoulder joint	Traumatic amputation at right shoulder joint	NC18.0	0
Traumatic amputation at level between right shoulder and elbow	Traumatic amputation at level between right shoulder and elbow	NC18.3	0
Multiple injuries of shoulder or upper arm	Multiple injuries of shoulder or upper arm	NC19	0
Injuries to the elbow or forearm, unspecified	Injuries to the elbow or forearm, unspecified	NC3Z	0
Superficial injury of forearm, unspecified	Superficial injury of forearm, unspecified	NC30.Z	0
Contusion of elbow	Contusion of elbow	NC30.1	0
Contusion of other or unspecified parts of forearm	Contusion of other or unspecified parts of forearm	NC30.3	0
Multiple superficial injuries of forearm	Multiple superficial injuries of forearm	NC30.4	0
Open wound of forearm, unspecified	Open wound of forearm, unspecified	NC31.Z	0
Multiple open wounds of forearm	Multiple open wounds of forearm	NC31.5	0
Fracture of forearm, unspecified	Fracture of forearm, unspecified	NC32.Z	0
Fracture of upper end of ulna	Fracture of upper end of ulna	NC32.0	0
Fracture of upper end of radius	Fracture of upper end of radius	NC32.1	0
Fracture of shaft of ulna	Fracture of shaft of ulna	NC32.2	0
Fracture of shaft of radius	Fracture of shaft of radius	NC32.3	0
Fracture of shafts of both ulna and radius	Fracture of shafts of both ulna and radius	NC32.4	0
Fracture of lower end of radius, unspecified	Fracture of lower end of radius, unspecified	NC32.5Z	0
Fracture of lower end of both ulna and radius	Fracture of lower end of both ulna and radius	NC32.6	0
Multiple fractures of forearm	Multiple fractures of forearm	NC32.7	0
Dislocation or strain or sprain of joints or ligaments of elbow, unspecified	Dislocation or strain or sprain of joints or ligaments of elbow, unspecified	NC33.Z	0
Dislocation of radial head	Dislocation of radial head	NC33.0	0
Dislocation of elbow	Dislocation of elbow	NC33.1	0
Traumatic rupture of radial collateral ligament	Traumatic rupture of radial collateral ligament	NC33.2	0
Traumatic rupture of ulnar collateral ligament	Traumatic rupture of ulnar collateral ligament	NC33.3	0
Strain or sprain of elbow	Strain or sprain of elbow	NC33.4	0
Injury of unspecified nerve at forearm level	Injury of unspecified nerve at forearm level	NC34.Z	0
Injury of ulnar nerve at forearm level	Injury of ulnar nerve at forearm level	NC34.0	0
Injury of median nerve at forearm level	Injury of median nerve at forearm level	NC34.1	0
Injury of radial nerve at forearm level	Injury of radial nerve at forearm level	NC34.2	0
Injury of cutaneous sensory nerve at forearm level	Injury of cutaneous sensory nerve at forearm level	NC34.3	0
Injury of multiple nerves at forearm level	Injury of multiple nerves at forearm level	NC34.4	0
Injury of unspecified blood vessel at forearm level	Injury of unspecified blood vessel at forearm level	NC35.Z	0
Injury of ulnar artery at forearm level, unspecified	Injury of ulnar artery at forearm level, unspecified	NC35.0Z	0
Injury of radial artery at forearm level, unspecified	Injury of radial artery at forearm level, unspecified	NC35.1Z	0
Injury of vein at forearm level, unspecified	Injury of vein at forearm level, unspecified	NC35.2Z	0
Injury of multiple blood vessels at forearm level	Injury of multiple blood vessels at forearm level	NC35.3	0
Injury of unspecified muscle, fascia, tendon or bursa at forearm level	Injury of unspecified muscle, fascia, tendon or bursa at forearm level	NC36.Z	0
Injury of flexor muscle, fascia or tendon of thumb at forearm level, unspecified	Injury of flexor muscle, fascia or tendon of thumb at forearm level, unspecified	NC36.0Z	0
Injury of long flexor muscle, fascia or tendon of other finger at forearm level, unspecified	Injury of long flexor muscle, fascia or tendon of other finger at forearm level, unspecified	NC36.1Z	0
Injury of other flexor muscle, fascia or tendon at forearm level, unspecified	Injury of other flexor muscle, fascia or tendon at forearm level, unspecified	NC36.2Z	0
Injury of extensor or abductor muscles or tendons of thumb at forearm level, unspecified	Injury of extensor or abductor muscles or tendons of thumb at forearm level, unspecified	NC36.3Z	0
Injury of extensor muscle, fascia or tendon of other finger at forearm level, unspecified	Injury of extensor muscle, fascia or tendon of other finger at forearm level, unspecified	NC36.4Z	0
Injury of other extensor muscle, fascia or tendon at forearm level, unspecified	Injury of other extensor muscle, fascia or tendon at forearm level, unspecified	NC36.5Z	0
Injury of multiple muscles or tendons at forearm level	Injury of multiple muscles or tendons at forearm level	NC36.6	0
Crushing injury of forearm, unspecified	Crushing injury of forearm, unspecified	NC37.Z	0
Crushing injury of elbow	Crushing injury of elbow	NC37.0	0
Traumatic amputation of forearm, unspecified	Traumatic amputation of forearm, unspecified	NC38.Z	0
Traumatic amputation at right elbow level	Traumatic amputation at right elbow level	NC38.0	0
Traumatic amputation at level between right elbow and wrist	Traumatic amputation at level between right elbow and wrist	NC38.3	0
Multiple injuries of forearm	Multiple injuries of forearm	NC39	0
Injuries to the wrist or hand, unspecified	Injuries to the wrist or hand, unspecified	NC5Z	0
Superficial injury of wrist or hand	Superficial injury of wrist or hand	NC51	0
Contusion of finger or thumb	Contusion of finger or thumb	NC51.01	0
Contusion of other parts of wrist or hand	Contusion of other parts of wrist or hand	NC51.10	0
Multiple superficial injuries of wrist or hand	Multiple superficial injuries of wrist or hand	NC51.2	0
Open wound of wrist or hand	Open wound of wrist or hand	NC52	0
Open wound of finger or thumb, unspecified	Open wound of finger or thumb, unspecified	NC52.0Z	0
Multiple open wounds of wrist or hand	Multiple open wounds of wrist or hand	NC52.2	0
Fracture at wrist or hand level, unspecified	Fracture at wrist or hand level, unspecified	NC53.Z	0
Fracture of scaphoid bone of hand	Fracture of scaphoid bone of hand	NC53.0	0
Fracture of other carpal bone	Fracture of other carpal bone	NC53.1	0
Fracture of first metacarpal bone	Fracture of first metacarpal bone	NC53.2	0
Fracture of other metacarpal bone, unspecified	Fracture of other metacarpal bone, unspecified	NC53.3Z	0
Multiple fractures of metacarpal bones	Multiple fractures of metacarpal bones	NC53.4	0
Fracture of thumb bone	Fracture of thumb bone	NC53.5	0
Fracture of other finger bone, unspecified	Fracture of other finger bone, unspecified	NC53.6Z	0
Multiple fractures of fingers	Multiple fractures of fingers	NC53.7	0
Dislocation or strain or sprain of joints or ligaments at wrist or hand level, unspecified	Dislocation or strain or sprain of joints or ligaments at wrist or hand level, unspecified	NC54.Z	0
Dislocation of wrist, unspecified	Dislocation of wrist, unspecified	NC54.0Z	0
Dislocation of finger, unspecified	Dislocation of finger, unspecified	NC54.2Z	0
Multiple dislocations of fingers	Multiple dislocations of fingers	NC54.3	0
Traumatic rupture of ligament of wrist or carpus, unspecified	Traumatic rupture of ligament of wrist or carpus, unspecified	NC54.4Z	0
Traumatic rupture of ligament of finger at metacarpophalangeal or interphalangeal joint, unspecified	Traumatic rupture of ligament of finger at metacarpophalangeal or interphalangeal joint, unspecified	NC54.5Z	0
Strain or sprain of wrist, unspecified	Strain or sprain of wrist, unspecified	NC54.6Z	0
Strain or sprain of finger, unspecified	Strain or sprain of finger, unspecified	NC54.8Z	0
Injury of unspecified nerve at wrist or hand level	Injury of unspecified nerve at wrist or hand level	NC55.Z	0
Injury of ulnar nerve at wrist or hand level	Injury of ulnar nerve at wrist or hand level	NC55.0	0
Injury of median nerve at wrist or hand level	Injury of median nerve at wrist or hand level	NC55.1	0
Injury of radial nerve at wrist or hand level	Injury of radial nerve at wrist or hand level	NC55.2	0
Injury of multiple nerves at wrist or hand level	Injury of multiple nerves at wrist or hand level	NC55.3	0
Injury of unspecified blood vessel at wrist or hand level	Injury of unspecified blood vessel at wrist or hand level	NC56.Z	0
Injury of ulnar artery at wrist or hand level, unspecified	Injury of ulnar artery at wrist or hand level, unspecified	NC56.0Z	0
Injury of radial artery at wrist or hand level, unspecified	Injury of radial artery at wrist or hand level, unspecified	NC56.1Z	0
Injury of superficial palmar arch, unspecified	Injury of superficial palmar arch, unspecified	NC56.2Z	0
Injury of deep palmar arch, unspecified	Injury of deep palmar arch, unspecified	NC56.3Z	0
Injury of blood vessel of thumb, unspecified	Injury of blood vessel of thumb, unspecified	NC56.4Z	0
Injury of blood vessel of other finger, unspecified	Injury of blood vessel of other finger, unspecified	NC56.5Z	0
Injury of multiple blood vessels at wrist or hand level, unspecified	Injury of multiple blood vessels at wrist or hand level, unspecified	NC56.6Z	0
Injury of unspecified muscle, fascia or tendon at wrist or hand level	Injury of unspecified muscle, fascia or tendon at wrist or hand level	NC57.Z	0
Injury of long flexor muscle, fascia or tendon of thumb at wrist or hand level, unspecified	Injury of long flexor muscle, fascia or tendon of thumb at wrist or hand level, unspecified	NC57.0Z	0
Injury of flexor muscle, fascia or tendon of other finger at wrist or hand level, unspecified	Injury of flexor muscle, fascia or tendon of other finger at wrist or hand level, unspecified	NC57.1Z	0
Injury of extensor muscle, fascia or tendon of thumb at wrist or hand level, unspecified	Injury of extensor muscle, fascia or tendon of thumb at wrist or hand level, unspecified	NC57.2Z	0
Injury of extensor muscle, fascia or tendon of other finger at wrist or hand level, unspecified	Injury of extensor muscle, fascia or tendon of other finger at wrist or hand level, unspecified	NC57.3Z	0
Injury of intrinsic muscle, fascia or tendon of thumb at wrist or hand level, unspecified	Injury of intrinsic muscle, fascia or tendon of thumb at wrist or hand level, unspecified	NC57.4Z	0
Injury of intrinsic muscle, fascia or tendon of other finger at wrist or hand level, unspecified	Injury of intrinsic muscle, fascia or tendon of other finger at wrist or hand level, unspecified	NC57.5Z	0
Injury of multiple flexor muscles or tendons at wrist or hand level	Injury of multiple flexor muscles or tendons at wrist or hand level	NC57.6	0
Injury of multiple extensor muscles or tendons at wrist or hand level	Injury of multiple extensor muscles or tendons at wrist or hand level	NC57.7	0
Crushing injury of wrist or hand, unspecified	Crushing injury of wrist or hand, unspecified	NC58.Z	0
Crushing injury of thumb	Crushing injury of thumb	NC58.0	0
Traumatic amputation of wrist or hand, unspecified	Traumatic amputation of wrist or hand, unspecified	NC59.Z	0
Traumatic amputation of thumb, unspecified	Traumatic amputation of thumb, unspecified	NC59.0Z	0
Traumatic amputation of other single finger	Traumatic amputation of other single finger	NC59.1	0
Traumatic amputation of two or more fingers alone, unspecified	Traumatic amputation of two or more fingers alone, unspecified	NC59.2Z	0
Combined traumatic amputation of finger with other parts of wrist or hand	Combined traumatic amputation of finger with other parts of wrist or hand	NC59.3	0
Multiple injuries of wrist or hand, unspecified	Multiple injuries of wrist or hand, unspecified	NC5A.Z	0
Injuries to the hip or thigh, unspecified	Injuries to the hip or thigh, unspecified	NC7Z	0
Superficial injury of hip or thigh, unspecified	Superficial injury of hip or thigh, unspecified	NC70.Z	0
Contusion of hip	Contusion of hip	NC70.1	0
Contusion of thigh	Contusion of thigh	NC70.3	0
Multiple superficial injuries of hip or thigh	Multiple superficial injuries of hip or thigh	NC70.4	0
Open wound of hip or thigh, unspecified	Open wound of hip or thigh, unspecified	NC71.Z	0
Multiple open wounds of hip or thigh	Multiple open wounds of hip or thigh	NC71.5	0
Fracture of femur, unspecified	Fracture of femur, unspecified	NC72.Z	0
Fracture of neck of femur, unspecified	Fracture of neck of femur, unspecified	NC72.2Z	0
Fracture of unspecified trochanteric section of femur	Fracture of unspecified trochanteric section of femur	NC72.3Z	0
Subtrochanteric fracture of femur	Subtrochanteric fracture of femur	NC72.4	0
Fracture of shaft of femur	Fracture of shaft of femur	NC72.5	0
Fracture of lower end of femur, unspecified	Fracture of lower end of femur, unspecified	NC72.6Z	0
Multiple fractures of femur	Multiple fractures of femur	NC72.7	0
Fractures of other parts of femur	Fractures of other parts of femur	NC72.8	0
Dislocation or strain or sprain of joint or ligaments of hip	Dislocation or strain or sprain of joint or ligaments of hip	NC73	0
Dislocation of hip, unspecified	Dislocation of hip, unspecified	NC73.0Z	0
Strain or sprain of hip, unspecified	Strain or sprain of hip, unspecified	NC73.1Z	0
Injury of unspecified nerve at hip or thigh level	Injury of unspecified nerve at hip or thigh level	NC74.Z	0
Injury of sciatic nerve at hip or thigh level	Injury of sciatic nerve at hip or thigh level	NC74.0	0
Injury of femoral nerve at hip or thigh level	Injury of femoral nerve at hip or thigh level	NC74.1	0
Injury of cutaneous sensory nerve at hip or thigh level	Injury of cutaneous sensory nerve at hip or thigh level	NC74.2	0
Injury of multiple nerves at hip or thigh level	Injury of multiple nerves at hip or thigh level	NC74.3	0
Injury of unspecified blood vessel at hip or thigh level	Injury of unspecified blood vessel at hip or thigh level	NC75.Z	0
Injury of femoral artery, unspecified	Injury of femoral artery, unspecified	NC75.0Z	0
Injury of femoral vein at hip or thigh level, unspecified	Injury of femoral vein at hip or thigh level, unspecified	NC75.1Z	0
Injury of greater saphenous vein at hip or thigh level, unspecified	Injury of greater saphenous vein at hip or thigh level, unspecified	NC75.2Z	0
Injury of multiple blood vessels at hip or thigh level	Injury of multiple blood vessels at hip or thigh level	NC75.3	0
Injury of unspecified muscle, fascia, tendon or bursa at hip or thigh level	Injury of unspecified muscle, fascia, tendon or bursa at hip or thigh level	NC76.Z	0
Injury of muscle, fascia or tendon of hip, unspecified	Injury of muscle, fascia or tendon of hip, unspecified	NC76.0Z	0
Injury of quadriceps muscle or tendon, unspecified	Injury of quadriceps muscle or tendon, unspecified	NC76.1Z	0
Injury of adductor muscle, fascia or tendon of thigh, unspecified	Injury of adductor muscle, fascia or tendon of thigh, unspecified	NC76.2Z	0
Injury of muscle, fascia or tendon of the posterior muscle group at thigh level, unspecified	Injury of muscle, fascia or tendon of the posterior muscle group at thigh level, unspecified	NC76.3Z	0
Injury of multiple muscles or tendons at hip or thigh level, unspecified	Injury of multiple muscles or tendons at hip or thigh level, unspecified	NC76.4Z	0
Crushing injury of hip or thigh, unspecified	Crushing injury of hip or thigh, unspecified	NC77.Z	0
Crushing injury of hip	Crushing injury of hip	NC77.0	0
Crushing injury of thigh	Crushing injury of thigh	NC77.1	0
Crushing injury of hip with thigh	Crushing injury of hip with thigh	NC77.2	0
Traumatic amputation of hip or thigh, unspecified	Traumatic amputation of hip or thigh, unspecified	NC78.Z	0
Traumatic amputation at right hip joint	Traumatic amputation at right hip joint	NC78.0	0
Traumatic amputation at level between right hip and knee	Traumatic amputation at level between right hip and knee	NC78.3	0
Multiple injuries of hip or thigh	Multiple injuries of hip or thigh	NC79	0
Injuries to the knee or lower leg, unspecified	Injuries to the knee or lower leg, unspecified	NC9Z	0
Superficial injury of knee or lower leg, unspecified	Superficial injury of knee or lower leg, unspecified	NC90.Z	0
Contusion of knee	Contusion of knee	NC90.1	0
Contusion of other or unspecified parts of lower leg	Contusion of other or unspecified parts of lower leg	NC90.3	0
Multiple superficial injuries of lower leg	Multiple superficial injuries of lower leg	NC90.4	0
Open wound of knee or lower leg, unspecified	Open wound of knee or lower leg, unspecified	NC91.Z	0
Multiple open wounds of lower leg	Multiple open wounds of lower leg	NC91.5	0
Fracture of lower leg, including ankle, unspecified	Fracture of lower leg, including ankle, unspecified	NC92.Z	0
Fracture of patella	Fracture of patella	NC92.0	0
Fracture of upper end of tibia, unspecified	Fracture of upper end of tibia, unspecified	NC92.1Z	0
Fracture of shaft of tibia	Fracture of shaft of tibia	NC92.2	0
Fracture of lower end of tibia	Fracture of lower end of tibia	NC92.3	0
Fracture of fibula alone, unspecified	Fracture of fibula alone, unspecified	NC92.4Z	0
Fracture of medial malleolus	Fracture of medial malleolus	NC92.5	0
Fracture of lateral malleolus	Fracture of lateral malleolus	NC92.6	0
Multiple fractures of lower leg	Multiple fractures of lower leg	NC92.8	0
Dislocation or strain or sprain of joints or ligaments of knee, unspecified	Dislocation or strain or sprain of joints or ligaments of knee, unspecified	NC93.Z	0
Dislocation of patella, unspecified	Dislocation of patella, unspecified	NC93.1Z	0
Dislocation of knee, unspecified	Dislocation of knee, unspecified	NC93.2Z	0
Tear of meniscus, current, unspecified	Tear of meniscus, current, unspecified	NC93.3Z	0
Tear of articular cartilage of knee	Tear of articular cartilage of knee	NC93.4	0
Strain or sprain involving fibular or tibial collateral ligament of knee, unspecified	Strain or sprain involving fibular or tibial collateral ligament of knee, unspecified	NC93.5Z	0
Strain or sprain involving anterior or posterior cruciate ligament of knee, unspecified	Strain or sprain involving anterior or posterior cruciate ligament of knee, unspecified	NC93.6Z	0
Strain or sprain of other or unspecified parts of knee	Strain or sprain of other or unspecified parts of knee	NC93.7	0
Injury to multiple structures of knee	Injury to multiple structures of knee	NC93.8	0
Injury of unspecified nerve at lower leg level	Injury of unspecified nerve at lower leg level	NC94.Z	0
Injury of tibial nerve at lower leg level	Injury of tibial nerve at lower leg level	NC94.0	0
Injury of peroneal nerve at lower leg level	Injury of peroneal nerve at lower leg level	NC94.1	0
Injury of cutaneous sensory nerve at lower leg level	Injury of cutaneous sensory nerve at lower leg level	NC94.2	0
Injury of multiple nerves at lower leg level	Injury of multiple nerves at lower leg level	NC94.3	0
Injury of unspecified blood vessel at lower leg level	Injury of unspecified blood vessel at lower leg level	NC95.Z	0
Injury of popliteal artery, unspecified	Injury of popliteal artery, unspecified	NC95.0Z	0
Injury of anterior tibial artery, unspecified	Injury of anterior tibial artery, unspecified	NC95.1Z	0
